serial	gene_name	short_description	Curator_summary	Computational_description
11	AT1G08620		Member of family of Jumonji C (JmjC)-containing demethylases, its catalytic domain exhibits both H3K4 and H3K9 demethylation activities. Together with MMD1 promotes in male meiocytes gene expression in an H3K9me3-dependent manner and thereby contributes to meiotic chromosome condensation.	Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein;(source:Araport11)
12	AT1G09240	nicotianamine synthase 3	Encodes a nicotianamine synthase.	nicotianamine synthase 3;(source:Araport11)
13	AT1G09750	Eukaryotic aspartyl protease family protein		Eukaryotic aspartyl protease family protein;(source:Araport11)
14	AT1G09830	Glycinamide ribonucleotide (GAR) synthetase	glycinamide ribonucleotide synthetase (GAR synthetase) that catalyzes the conversion of phosphoribosyl amine to phosphoribosyl glycineamide	Glycinamide ribonucleotide (GAR) synthetase;(source:Araport11)
15	AT1G10490			GNAT acetyltransferase (DUF699);(source:Araport11)
16	AT1G11050	Protein kinase superfamily protein		Protein kinase superfamily protein;(source:Araport11)
17	AT1G11310		A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO2 belongs to the clade IV, with AtMLO3, AtMLO6 and AtMLO12. The gene is expressed during early seedling growth, in roots, in vascular system of cotyledons and young leaves,and in fruit abscission zone; it was not expressed in anthers and pollen, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s). mlo resistance in A. thaliana does not involve the signaling molecules ethylene, jasmonic acid or salicylic acid, but requires a syntaxin, glycosyl hydrolase and ABC transporter. It is a novel virulence target of the P. syringae type III secreted effector HopZ2.	Seven transmembrane MLO family protein;(source:Araport11)
18	AT1G11410			S-locus lectin protein kinase family protein;(source:Araport11)
19	AT1G12090	extensin-like protein	extensin-like protein (ELP)	extensin-like protein;(source:Araport11)
20	AT1G12110	nitrate transporter 1.1	Encodes NRT1.1 (CHL1), a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type, the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium. Affects flowering time via interaction with the FLC dependent flowering pathway to influence its target gene FT.	nitrate transporter 1.1;(source:Araport11)
21	AT1G12930	ARM repeat superfamily protein	Ran effector.	ARM repeat superfamily protein;(source:Araport11)
22	AT1G13110	cytochrome P450, family 71 subfamily B, polypeptide 7	member of CYP71B The mRNA is cell-to-cell mobile.	cytochrome P450, family 71 subfamily B, polypeptide 7;(source:Araport11)
23	AT1G13210	autoinhibited Ca2+/ATPase II	Autoinhibited Ca2+/ATPase II. ALA11 acts redundantly with ALA3, ALA4, ALA5, ALA9, ALA10 in root and shoot development as well as PIN trafficking and polarity .	autoinhibited Ca2+/ATPase II;(source:Araport11)
24	AT1G13470	Protein of unknown function (DUF1262)		hypothetical protein (DUF1262);(source:Araport11)
25	AT1G14790	RNA-dependent RNA polymerase 1	Encodes RNA-dependent RNA polymerase.   While not required for virus-induced post-transcriptional gene silencing (PTGS), it can promote turnover of viral RNAs in infected plants. Nomenclature according to Xie, et al. (2004). Involved in the production of Cucumber Mosaic Virus siRNAs.	RNA-dependent RNA polymerase 1;(source:Araport11)
26	AT1G14850	nucleoporin 155	Encodes a protein similar to nucleoporin, a a major component of the nuclear pore complex (NPC) involved in cellular nucleo-cytoplasmic transport	nucleoporin 155;(source:Araport11)
27	AT1G15125			S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
28	AT1G15150			MATE efflux family protein;(source:Araport11)
29	AT1G15180	MATE efflux family protein		MATE efflux family protein;(source:Araport11)
30	AT1G15510	Tetratricopeptide repeat (TPR)-like superfamily protein	Encodes a pentatricopeptide repeat protein required for chloroplast transcript accD RNA editing and early chloroplast biogenesis.	Tetratricopeptide repeat (TPR)-like superfamily protein;(source:Araport11)
31	AT1G15550	gibberellin 3-oxidase 1	Involved in later steps of the gibberellic acid biosynthetic pathway. Activated by AGAMOUS in a cal-1, ap1-1 background. Deletion of 208 bp from -1016 to -809  (&#916;-808) resulted in loss of GA-negative feedback (this sequence, which contains a 43-bp sequence GNFEI, was shown to be sufficient for GA-negative feedback).	gibberellin 3-oxidase 1;(source:Araport11)
32	AT1G15580	indole-3-acetic acid inducible 5	auxin induced protein	indole-3-acetic acid inducible 5;(source:Araport11)
33	AT1G15740	Leucine-rich repeat family protein		Leucine-rich repeat family protein;(source:Araport11)
34	AT1G15780			mediator of RNA polymerase II transcription subunit 15a-like protein;(source:Araport11)
35	AT1G16390	organic cation/carnitine transporter 3		organic cation/carnitine transporter 3;(source:Araport11)
36	AT1G16410	cytochrome p450 79f1	member of CYP79F The mRNA is cell-to-cell mobile.	cytochrome p450 79f1;(source:Araport11)
37	AT1G16710		Encodes an enzyme with histone acetyltransferase activity that can use both H3 and H4 histones as substrates.  No  single prior lysine acetylation is sufficient to block HAC12 acetylation of the H3 or H4 peptides,  suggesting that HAC12 can acetylate any  of several lysines present in the peptides.	histone acetyltransferase of the CBP family 12;(source:Araport11)
38	AT1G17450			B-block binding subunit of TFIIIC;(source:Araport11)
39	AT1G17600	Disease resistance protein (TIR-NBS-LRR class) family	SOC3 is a TIR-NB-leucine-rich repeat (TNL) protein.Mutants suppress loss of chs2 phenotype of auto-activation of immunity.  When the TIR domain of SOC3  interacts with CHS2 the binding results in temperature activation of cell death, the suppressors inhibit this interaction.	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
40	AT1G18000	Major facilitator superfamily protein		Major facilitator superfamily protein;(source:Araport11)
41	AT1G18090	5'-3' exonuclease family protein		5-3 exonuclease family protein;(source:Araport11)
42	AT1G18270			ketose-bisphosphate aldolase class-II family protein;(source:Araport11)
43	AT1G18390	Encodes a plasma membrane localized protein involved in ABA signaling.		Serine/Threonine kinase family catalytic domain protein;(source:Araport11)
44	AT1G18810	phytochrome kinase substrate-related		phytochrome kinase substrate-like protein;(source:Araport11)
45	AT1G20190		member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio)	expansin 11;(source:Araport11)
46	AT1G20720			RAD3-like DNA-binding helicase protein;(source:Araport11)
47	AT1G21130	O-methyltransferase family protein		O-methyltransferase family protein;(source:Araport11)
48	AT1G21250	cell wall-associated kinase	Encodes a cell wall-associated kinase that interacts with AtGRP3 and may function as a signaling receptor of extracellular matrix component such as oligogalacturonides. The mRNA is cell-to-cell mobile.	cell wall-associated kinase;(source:Araport11)
49	AT1G21580		Encodes a zinc-finger protein that co-localizes with the exosome-associated RNA helicase HEN2 and functions as a co-factor of nuclear RNA quality control by the nucleoplasmic exosome.	Zinc finger C-x8-C-x5-C-x3-H type family protein;(source:Araport11)
50	AT1G22060			sporulation-specific protein;(source:Araport11)
51	AT1G22360	UDP-glucosyl transferase 85A2		UDP-glucosyl transferase 85A2;(source:Araport11)
52	AT1G22400	UDP-Glycosyltransferase superfamily protein		UDP-Glycosyltransferase superfamily protein;(source:Araport11)
53	AT1G22540	Major facilitator superfamily protein		Major facilitator superfamily protein;(source:Araport11)
54	AT1G22930	T-complex protein 11		T-complex protein 11;(source:Araport11)
55	AT1G23230		Mediator tail subunit, involved in transcriptional regulation. Mediator Complex Subunit, interacts with MED2, MED5, MED16 in the Regulation of Phenylpropanoid Biosynthesis.	mediator of RNA polymerase II transcription subunit;(source:Araport11)
56	AT1G24148			hypothetical protein;(source:Araport11)
57	AT1G24360	NAD(P)-binding Rossmann-fold superfamily protein	Dual mitochondrial and plastid localized b-ketoacyl- ACP reductase, a component of the fatty acid synthase complex.	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)
58	AT1G24460		Encodes a novel protein that co-immunoprecipitates with SYP41.  It is involved in vacuolar trafficking and salt tolerance, potentially via a role in vesicle fusion and in maintaining TGN structure or identity. Mutants display delayed formation of the Brefeldin A (BFA) compartment in cotyledons upon application of BFA.	TGN-related, localized SYP41 interacting protein;(source:Araport11)
59	AT1G26440		Encodes a ureide permease, uptake assays in yeast mutants indicated the longer splice variant is a cellular importer for allantoin, uracil and xanthine. Encodes 2 splice variants, UPS5L and UPS5S, which under nonstress conditions may function in allantoin degradation for nutrient recycling, whereas under stress, both genes may be involved in vesicular export allowing allantoin translocation from roots to shoots.	ureide permease 5;(source:Araport11)
60	AT1G27770		Encodes a chloroplast envelope Ca2+-ATPase with an N-terminal autoinhibitor.	autoinhibited Ca2+-ATPase 1;(source:Araport11)
61	AT1G29030			Apoptosis inhibitory protein 5 (API5);(source:Araport11)
62	AT1G29720	Leucine-rich repeat transmembrane protein kinase	Encodes one of three RECEPTOR-LIKE KINASE IN FLOWERS 1 (RKF1) paralogues that is required in the stigmatic papillae and the female reproductive tract to promote compatible pollen grain hydration and pollen tube growth.	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
63	AT1G29760	Putative adipose-regulatory protein (Seipin)	Membrane protein involved in lipid droplet biogenesis primarily in pollen. The interaction motif on SEIPIN2 for VAP27-1 is restricted to the N-terminal 30 amino acids that contain an FFAT motif.	Putative adipose-regulatory protein (Seipin);(source:Araport11)
64	AT1G29900	carbamoyl phosphate synthetase B	Encodes carbamoyl phosphate synthetase (CPS) large subunit (CARB), also named as VEN3. Heterologous expression of the Arabidopsis VEN3 and VEN6 genes in a CPS-deficient Escherichia coli strain fully restored bacterial growth in minimal medium, demonstrating the enzymatic activity of the VEN3 and VEN6 proteins.	carbamoyl phosphate synthetase B;(source:Araport11)
65	AT1G29920	chlorophyll A/B-binding protein 2	Encodes lhcb1.1 a component of the LHCIIb light harvesting complex associated with photosystem II.	chlorophyll A/B-binding protein 2;(source:Araport11)
66	AT1G29940	nuclear RNA polymerase A2	Encodes a subunit of RNA polymerase 1 (aka RNA polymerase A).	nuclear RNA polymerase A2;(source:Araport11)
67	AT1G29950			Derives_from AT1G29950;(source:Araport11)
68	AT1G30240			proline-, glutamic acid/leucine-rich protein;(source:Araport11)
69	AT1G30420		member of MRP subfamily	multidrug resistance-associated protein 12;(source:Araport11)
70	AT1G31540			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
71	AT1G31580	ECS1	Encodes cell wall protein.  ECS1 is not a Xcc750 resistance gene, but the genetic data indicate that ECS1 is linked to a locus influencing resistance to Xcc750. The mRNA is cell-to-cell mobile.	ECS1;(source:Araport11)
72	AT1G32450	nitrate transporter 1.5	Transmembrane nitrate transporter. Involved in xylem transport of nitrate from root to shoot. Induced in response to high and low concentrations of nitrate. Not involved in nitrate uptake. Expressed in root pericycle cells under the control of MYB59. Also functions as a proton-coupled H+/K+ antiporter for K+ loading into the xylem.	nitrate transporter 1.5;(source:Araport11)
73	AT1G32540		Encodes a protein with 3 plant-specific zinc finger domains that acts as a positive regulator of cell death.	lsd one like 1;(source:Araport11)
74	AT1G33440	Major facilitator superfamily protein		Major facilitator superfamily protein;(source:Araport11)
75	AT1G33560	Disease resistance protein (CC-NBS-LRR class) family	Encodes a  NBS-LRR disease resistance protein that possesses N-terminal kinase subdomains. Activation tagged mutant of ADR1 showed elevated levels of SA and reactive oxygen species in addition to number of defense gene transcripts. Exhibits resistance to number of microbial pathogens.	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)
76	AT1G34460		B1 type cyclin	CYCLIN B1;(source:Araport11)
77	AT1G35290	Thioesterase superfamily protein		Thioesterase superfamily protein;(source:Araport11)
78	AT1G35710	Protein kinase family protein with leucine-rich repeat domain		kinase family with leucine-rich repeat domain-containing protein;(source:Araport11)
79	AT1G35720	annexin 1	Encodes a member of the annexin gene family, a diverse, multigene family of calcium-dependent, membrane-binding proteins. The protein was determined to have peroxidase activity. This activity is thought to be dependent on the presence of post-translational modifications (most likely phosphorylation). The protein was shown to be present as a mixture of monomer and homodimer. The homodimerization seems to be dependent on the presence of Ca2+ or H2O2. The dimerization was prevented by the addition of DTT, &#946;-mercaptoethanol and TCEP. Annat1 mRNA is expressed in flowers, roots,leaves and stems and is most abundant in stems. mRNA levels are increased in response to oxidative stress.  Developmental expression patterns suggest a role in Golgi-mediated polysaccharide secretion. It is a Ca  2+-permeable transporter providing a molecular link between reactive oxygen species and cytosolic Ca 2+ in plants. The mRNA is cell-to-cell mobile.	annexin 1;(source:Araport11)
80	AT1G35910	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein;(source:Araport11)
81	AT1G37130	nitrate reductase 2	Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940. The mRNA is cell-to-cell mobile.	nitrate reductase 2;(source:Araport11)
82	AT1G43560	thioredoxin Y2		thioredoxin Y2;(source:Araport11)
83	AT1G43620		Encodes a UDP-glucose:sterol-glucosyltransferase. ugt80b1 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels, reduced seed size, and a transparent testa phenotype. The mutant seeds also have reduced levels of suberization and lipid polyester monomers. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
84	AT1G44800	nodulin MtN21 /EamA-like transporter family protein	Encodes Siliques Are Red 1 (SIAR1). Functions as a bidirectional amino acid transporter that is crucial for the amino acid homeostasis of siliques. Member of nodulin MtN21-like transporter family.	nodulin MtN21 /EamA-like transporter family protein;(source:Araport11)
85	AT1G45145	thioredoxin H-type 5	encodes a cytosolic thioredoxin that reduces disulfide bridges of target proteins by the reversible formation of a disulfide bridge between two neighboring Cys residues present in the active site. Thioredoxins have been found to regulate a variety of biological reactions in prokaryotic and eukaryotic cells.	thioredoxin H-type 5;(source:Araport11)
86	AT1G48090			calcium-dependent lipid-binding family protein;(source:Araport11)
87	AT1G48430			Dihydroxyacetone kinase;(source:Araport11)
88	AT1G48490		Protein kinase which together with IREH1 plays an important role in controlling root skewing and maintaining the microtubule network.	Protein kinase superfamily protein;(source:Araport11)
89	AT1G48570	zinc finger (Ran-binding) family protein		zinc finger (Ran-binding) family protein;(source:Araport11)
90	AT1G48630	receptor for activated C kinase 1B	Encodes a protein with similarity to mammalian RACKs. RACKs function to shuttle activated protein kinase C to different subcellular sites and may also function as a scaffold through physical interactions with other proteins. RACK1B has no phenotype on its own and probably acts redundantly with RACK1A and RACK1C.	receptor for activated C kinase 1B;(source:Araport11)
91	AT1G49050		Encodes a member of the aspartyl protease family. Interacts with BAGP1 and BAG6 and appears to be required for cleavage of BAG6 as BAG6 is not cleaved in APCB1 mutant backgrounds.	Eukaryotic aspartyl protease family protein;(source:Araport11)
92	AT1G50030	target of rapamycin	Related to TOR proteins from yeast and mammals, regulators of cell growth in response to nutrient availability. TOR proteins belong to the family of phosphatidylinositol 3-kinase and are targets of the antiproliferative drug rapamycin. AtTOR binds the yeast FKBP12 protein in the presence of Rapamycin, is involved in embryogenesis and is expressed in embryos, endosperm and meristems. Participates in negatively  modulating ethylene signals and the molecular mechanism is likely involved in the regulation of  ethylene biosynthesis by affecting ACSs in transcription and protein levels	target of rapamycin;(source:Araport11)
93	AT1G50360	P-loop containing nucleoside triphosphate hydrolases superfamily protein	member of Myosin-like proteins	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
94	AT1G50575	Putative lysine decarboxylase family protein		Putative lysine decarboxylase family protein;(source:Araport11)
95	AT1G51640	exocyst subunit exo70 family protein G2	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.	exocyst subunit exo70 family protein G2;(source:Araport11)
96	AT1G51790			Leucine-rich repeat protein kinase family protein;(source:Araport11)
97	AT1G51800	Leucine-rich repeat protein kinase family protein	The gene encodes a putative member of  the LRR-RLK protein family. Expressin and mutant analysis revealed that it contributes to the interaction between Arabidopsis and Hyaloperonospora arabidopsidis.  and The mRNA is cell-to-cell mobile.	Leucine-rich repeat protein kinase family protein;(source:Araport11)
98	AT1G51805	Leucine-rich repeat protein kinase family protein		Leucine-rich repeat protein kinase family protein;(source:Araport11)
99	AT1G52000			Mannose-binding lectin superfamily protein;(source:Araport11)
100	AT1G52750	alpha/beta-Hydrolases superfamily protein		alpha/beta-Hydrolases superfamily protein;(source:Araport11)
101	AT1G52770	Phototropic-responsive NPH3 family protein		Phototropic-responsive NPH3 family protein;(source:Araport11)
102	AT1G52780	Protein of unknown function (DUF2921)		PII, uridylyltransferase (DUF2921);(source:Araport11)
103	AT1G52930	Ribosomal RNA processing Brix domain protein	Encodes one of two Arabidopsis orthologs of yeast BRX1, a protein involved in maturation of the large ribosomal subunit.  The proteins are mainly localized in nucleolus.  Mutant plants are affected in pre-rRNA processing.	Ribosomal RNA processing Brix domain protein;(source:Araport11)
104	AT1G53250			histone-lysine N-methyltransferase, H3 lysine-79 specific-like protein;(source:Araport11)
105	AT1G54010	GDSL-like Lipase/Acylhydrolase superfamily protein	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.	GDSL-like Lipase/Acylhydrolase superfamily protein;(source:Araport11)
106	AT1G54040		Epithiospecifier protein, interacts with WRKY53. Involved in pathogen resistance and leaf senescence.	epithiospecifier protein;(source:Araport11)
107	AT1G54100	aldehyde dehydrogenase 7B4	Aldehyde dehydrogenase	aldehyde dehydrogenase 7B4;(source:Araport11)
108	AT1G54160	nuclear factor Y, subunit A5	Encodes a member of the CCAAT-binding transcription factor (CBF-B/NF-YA) family. Expression is upregulated in response to ABA and drought. This regulation appears to be mediated by MIR169A which is downregulated in  response to drought. NFYA5 is a target of MIR169A. Loss of function mutations are hypersensitive to drought.	nuclear factor Y, subunit A5;(source:Araport11)
109	AT1G54570	Esterase/lipase/thioesterase family protein	Encodes a protein with phytyl ester synthesis and diacylglycerol acyltransferase activities that is involved in the deposition of free phytol and free fatty acids in the form of phytyl esters in chloroplasts, a process involved in maintaining the integrity of the photosynthetic membrane during abiotic stress and senescence.	Esterase/lipase/thioesterase family protein;(source:Araport11)
110	AT1G54920			hypothetical protein;(source:Araport11)
111	AT1G55450	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)
112	AT1G55730	cation exchanger 5	member of Low affinity calcium antiporter CAX2 family	cation exchanger 5;(source:Araport11)
113	AT1G55850	cellulose synthase like E1	encodes a protein similar to cellulose synthase The mRNA is cell-to-cell mobile.	cellulose synthase like E1;(source:Araport11)
114	AT1G55860	ubiquitin-protein ligase 1	encodes a ubiquitin-protein ligase containing a HECT domain. There are six other HECT-domain UPLs in Arabidopsis.	LOW protein: E3 ubiquitin ligase-like protein;(source:Araport11)
115	AT1G56120			Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
116	AT1G56460			HIT zinc finger and PAPA-1-like domain-containing protein;(source:Araport11)
117	AT1G56510	Disease resistance protein (TIR-NBS-LRR class)	TIR-NB-LRR protein that confers resistance to four races of Albugo candida. The mRNA is cell-to-cell mobile.	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
118	AT1G56540			Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
119	AT1G57720	Translation elongation factor EF1B, gamma chain		Translation elongation factor EF1B, gamma chain;(source:Araport11)
120	AT1G57820		Encodes a 645-amino acid methylcytosine-binding protein with a PHD domain, two RING finger domains, and an SRA domain that is involved in centromere heterochromatinization. This protein functions as an E3 ubiquitin ligase in vitro.  The protein has been shown to bind to methylated cytosines of CG, CNG and CNN motifs via its SRA domain but has a preference for the former. It plays a role in the establishment/maintenance of chromatin structure during cell division and is localized in the nucleus. Plants over-expressing VIM1/ORTH2 show an inhibition in root growth and a delay in flowering. Both over-expression of GFP:ORTH2 and loss of ORTH2/VIM1 lead to decreased levels of DNA methylation. GFP:ORTH2 over-expressers also have increased levels of FWA transcripts.	Zinc finger (C3HC4-type RING finger) family protein;(source:Araport11)
121	AT1G58230			binding protein;(source:Araport11)
122	AT1G58250	Golgi-body localisation protein domain ;RNA pol II promoter Fmp27 protein domain	SABRE, putative gene of unknown function, homologous to maize apt1 gene. Required for normal cell expansion in the root cortex. The sabre mutation results in abnormal cell expansion. Encodes a rare message; very low level of expression was detected in roots and shoots.	HYPERSENSITIVE TO PI STARVATION 4;(source:Araport11)
123	AT1G58270	TRAF-like family protein	ZW9 mRNA, complete cds The mRNA is cell-to-cell mobile.	TRAF-like family protein;(source:Araport11)
124	AT1G58602	LRR and NB-ARC domains-containing disease resistance protein		LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)
125	AT1G59820	aminophospholipid ATPase 3	Encodes a phospholipid translocase. Involved in secretory vesicle formation from trans-Golgi in peripheral columella cells at the root tip. Mutants have short primary roots and grow slower. The mRNA is cell-to-cell mobile.	aminophospholipid ATPase 3;(source:Araport11)
126	AT1G59870	ABC-2 and Plant PDR ABC-type transporter family protein	ATP binding cassette transporter. Localized to the plasma membrane in uninfected cells. In infected leaves, the protein concentrated at  infection sites. Contributes to nonhost resistance to inappropriate pathogens that enter by direct penetration in a salicylic acid–dependent manner. Required for mlo resistance.  Has Cd transporter activity (Cd2+ extrusion pump) and contributes to heavy metal resistance. The mRNA is cell-to-cell mobile.	ABC-2 and Plant PDR ABC-type transporter family protein;(source:Araport11)
127	AT1G60420	DC1 domain-containing protein	Reduce transmission through pollen. The mRNA is cell-to-cell mobile.	DC1 domain-containing protein;(source:Araport11)
128	AT1G60590	Pectin lyase-like superfamily protein		Pectin lyase-like superfamily protein;(source:Araport11)
129	AT1G61300			LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)
130	AT1G62200			Major facilitator superfamily protein;(source:Araport11)
131	AT1G62510	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Expressed in the root cortex.	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
132	AT1G62540		belongs to the flavin-monooxygenase (FMO) family, encodes a glucosinolate S-oxygenase that catalyzes the conversion of methylthioalkyl glucosinolates to methylsulfinylalkyl glucosinolatesThe mRNA is cell-to-cell mobile.	flavin-monooxygenase glucosinolate S-oxygenase 2;(source:Araport11)
133	AT1G62560		belongs to the flavin-monooxygenase (FMO) family, encodes a glucosinolate S-oxygenase that catalyzes the conversion of methylthioalkyl glucosinolates to methylsulfinylalkyl glucosinolatesThe mRNA is cell-to-cell mobile.	flavin-monooxygenase glucosinolate S-oxygenase 3;(source:Araport11)
134	AT1G62750	Translation elongation factor EFG/EF2 protein	Nuclear encoded protein consists of the five domains conserved in EF-G proteins, with two GTP-binding sites in the first domain, and an additional transit peptide at the N-terminus. Localized in chloroplasts. Point mutation results in a delay in the onset of germination. At early developmental stage embryos still contain undifferentiated proplastids. The greening of cotyledons is severely impaired in light-grown mutant sco1 seedlings, whereas the following true leaves develop normally as in wild-type plants.	Translation elongation factor EFG/EF2 protein;(source:Araport11)
135	AT1G63750	Disease resistance protein (TIR-NBS-LRR class) family	miR825-5p target proposed as a phasiRNA producing locus.	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
136	AT1G63810			nucleolar protein;(source:Araport11)
137	AT1G63880		Encodes a TIR-NBS-LRR class of disease resistance protein effective against Leptosphaeria maculans.The mRNA is cell-to-cell mobile.	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
138	AT1G64280	regulatory protein (NPR1)	This gene is a key regulator of the salicylic acid (SA)-mediated systemic acquired resistance (SAR) pathway. It is similar to the transcription factor inhibitor I kappa B, and contains ankyrin repeats. It confers resistance to the pathogens Pseudomonas syringae and Peronospora parasitica in a dosage-dependent fashion. Although transgenic Arabidopsis plants overexpressing NPR1 acquire enhanced sensitivity to SA and (benzothiadiazole) BTH, they display no obvious detrimental morphological changes and do not have elevated pathogenesis-related gene expression until activated by inducers or pathogens.	regulatory protein (NPR1);(source:Araport11)
139	AT1G64370			filaggrin-like protein;(source:Araport11)
140	AT1G64500	Glutaredoxin family protein	A member of a protein family found in plants and animals that contain conserved C-terminal glutaredoxin-like and putative zinc-binding cysteine-rich domains. It is involved in light stimulated actin bundling and chloroplast movement. The mRNA is cell-to-cell mobile.	Glutaredoxin family protein;(source:Araport11)
141	AT1G64570	Homeodomain-like superfamily protein		Homeodomain-like superfamily protein;(source:Araport11)
142	AT1G64600	methyltransferases;copper ion binding		copper ion binding / methyltransferase;(source:Araport11)
143	AT1G64710			GroES-like zinc-binding alcohol dehydrogenase family protein;(source:Araport11)
144	AT1G64790		ILITHYIA (ILA) is a HEAT repeat protein involved in plant immunity. The gene is also involved in systemic acquired resistance induced by P. syringae expressing avrRps4. Loss-of-function mutants of ILA caused pleiotropic defects in the mutant plants. The mutant plants are smaller in size and the leaves are serrated and yellow to light green in color. Required for bacterium-triggered stomatal closure.	ILITYHIA;(source:Araport11)
145	AT1G64900	cytochrome P450, family 89, subfamily A, polypeptide 2	Encodes cytochrome P450 (CYP89A2). The mRNA is cell-to-cell mobile.	cytochrome P450, family 89, subfamily A, polypeptide 2;(source:Araport11)
