Gene_name	Gene_symbol	TairAliases	ShortDescription	ComputationalDescription
AT4G33240	FAB1A	FAB1A	1-phosphatidylinositol-4-phosphate 5-kinases;zinc ion binding;1-phosphatidylinositol-3-phosphate 5-kinases	1-phosphatidylinositol-3-phosphate 5-kinase FAB1A;(source:Araport11)
AT3G25180	CYP82G1	CYP82G1	cytochrome P450, family 82, subfamily G, polypeptide 1	cytochrome P450, family 82, subfamily G, polypeptide 1;(source:Araport11)
AT4G13750	NOV	EMB2597, NOV	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein;(source:Araport11)
AT4G34610	BLH6	BLH6	BEL1-like homeodomain 6	BEL1-like homeodomain 6;(source:Araport11)
AT4G12480	EARLI1	EARLI1, pEARLI 1	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT1G59870	PEN3	ABCG36, ATABCG36, ATPDR8, PDR8, PEN3	ABC-2 and Plant PDR ABC-type transporter family protein	ABC-2 and Plant PDR ABC-type transporter family protein;(source:Araport11)
AT2G25730	AT2G25730		NULL	zinc finger FYVE domain protein;(source:Araport11)
AT1G59820	ALA3	ALA3	aminophospholipid ATPase 3	aminophospholipid ATPase 3;(source:Araport11)
AT1G31540	AT1G31540		Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT5G23010	MAM1	GSM1, IMS3, MAM1	methylthioalkylmalate synthase 1	methylthioalkylmalate synthase 1;(source:Araport11)
AT1G62510	AT1G62510		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT3G02260	BIG	ASA1, BIG, CRM1, DOC1, LPR1, TIR3, UMB1	auxin transport protein (BIG)	auxin transport protein (BIG);(source:Araport11)
AT3G53280	CYP71B5	CYP71B5	cytochrome p450 71b5	cytochrome p450 71b5;(source:Araport11)
AT4G08760	AT4G08760		NULL	hypothetical protein;(source:Araport11)
AT1G22060	AT1G22060		NULL	sporulation-specific protein;(source:Araport11)
AT4G23600	CORI3	CORI3, JR2	Tyrosine transaminase family protein	Tyrosine transaminase family protein;(source:Araport11)
AT2G41220	GLU2	GLU2	glutamate synthase 2	glutamate synthase 2;(source:Araport11)
AT5G61660	AT5G61660		glycine-rich protein	glycine-rich protein;(source:Araport11)
AT3G26830	PAD3	CYP71B15, PAD3	Cytochrome P450 superfamily protein	Cytochrome P450 superfamily protein;(source:Araport11)
AT4G15700	AT4G15700	GRXS3, ROXY11	Thioredoxin superfamily protein	Thioredoxin superfamily protein;(source:Araport11)
AT3G14470	AT3G14470	LRR4	NB-ARC domain-containing disease resistance protein	NB-ARC domain-containing disease resistance protein;(source:Araport11)
AT2G43620	AT2G43620		Chitinase family protein	Chitinase family protein;(source:Araport11)
AT5G38420	RBCS2B	DEG24, RBCS2B	Ribulose bisphosphate carboxylase (small chain) family protein	Ribulose bisphosphate carboxylase (small chain) family protein;(source:Araport11)
AT1G58602	AT1G58602	RPP7	LRR and NB-ARC domains-containing disease resistance protein	LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)
AT5G25980	TGG2	BGLU37, TGG2	glucoside glucohydrolase 2	glucoside glucohydrolase 2;(source:Araport11)
AT3G48830	AT3G48830		polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein	tRNA nucleotidyltransferase/polyA polymerase family protein;(source:Araport11)
AT2G31830	5PTase14	5PTase14	endonuclease/exonuclease/phosphatase family protein	endonuclease/exonuclease/phosphatase family protein;(source:Araport11)
AT1G79840	GL2	GL2	HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain	HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain-containing protein;(source:Araport11)
AT4G00140	EDA34	EDA34	Calcium-binding EF-hand family protein	Calcium-binding EF-hand family protein;(source:Araport11)
AT5G13370	AT5G13370	GH3.15	Auxin-responsive GH3 family protein	Auxin-responsive GH3 family protein;(source:Araport11)
AT1G74810	BOR5	BOR5	HCO3- transporter family	HCO3- transporter family;(source:Araport11)
AT1G67590	AT1G67590		Remorin family protein	Remorin family protein;(source:Araport11)
AT5G49680	AT5G49680			
AT4G29020	AT4G29020		glycine-rich protein	glycine-rich protein;(source:Araport11)
AT5G28490	LSH1	LSH1, OBO2	Protein of unknown function (DUF640)	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640);(source:Araport11)
AT5G49900	AT5G49900		Beta-glucosidase, GBA2 type family protein	Beta-glucosidase, GBA2 type family protein;(source:Araport11)
AT5G07830	GUS2	AtGUS2, GUS2	glucuronidase 2	glucuronidase 2;(source:Araport11)
AT3G09450	AT3G09450		NULL	fusaric acid resistance family protein;(source:Araport11)
AT5G44490	AT5G44490		FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein	FBD, F-box, Skp2-like and Leucine Rich Repeat domains containing protein;(source:Araport11)
AT4G12490	AT4G12490	AZI3	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT3G22142	AT3G22142		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT2G15020	AT2G15020		NULL	hypothetical protein;(source:Araport11)
AT5G23020	IMS2	IMS2, MAM-L, MAM3	2-isopropylmalate synthase 2	2-isopropylmalate synthase 2;(source:Araport11)
AT3G33528	AT3G33528		NULL	hypothetical protein;(source:Araport11)
AT1G52930	AT1G52930	atBRX1-2	Ribosomal RNA processing Brix domain protein	Ribosomal RNA processing Brix domain protein;(source:Araport11)
AT2G17930	AT2G17930	TRA1a	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain-containing protein;(source:Araport11)
AT4G19520	AT4G19520		disease resistance protein (TIR-NBS-LRR class) family	disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT4G17245	AT4G17245	ATL18	RING/U-box superfamily protein	RING/U-box superfamily protein;(source:Araport11)
AT1G58250	SAB	HPS4, SAB	Golgi-body localisation protein domain ;RNA pol II promoter Fmp27 protein domain	HYPERSENSITIVE TO PI STARVATION 4;(source:Araport11)
AT5G49630	AAP6	AAP6	amino acid permease 6	amino acid permease 6;(source:Araport11)
AT3G16460	JAL34	JAL34	Mannose-binding lectin superfamily protein	Mannose-binding lectin superfamily protein;(source:Araport11)
AT3G47090	AT3G47090		Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT1G12090	ELP	ELP	extensin-like protein	extensin-like protein;(source:Araport11)
AT1G67500	REV3	ATREV3, REV3	recovery protein 3	recovery protein 3;(source:Araport11)
AT1G24360	AT1G24360	KR	NAD(P)-binding Rossmann-fold superfamily protein	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)
AT5G51750	SBT1.3	ATSBT1.3, SBT1.3	subtilase 1.3	subtilase 1.3;(source:Araport11)
AT3G21460	AT3G21460	ROXY3	Glutaredoxin family protein	Glutaredoxin family protein;(source:Araport11)
AT1G75040	PR5	PR-5, PR5	pathogenesis-related gene 5	pathogenesis-related protein 5;(source:Araport11)
AT3G15680	AT3G15680	JUL1	Ran BP2/NZF zinc finger-like superfamily protein	Ran BP2/NZF zinc finger-like superfamily protein;(source:Araport11)
AT5G35370	AT5G35370		S-locus lectin protein kinase family protein	S-locus lectin protein kinase family protein;(source:Araport11)
AT5G20320	DCL4	ATDCL4, DCL4	dicer-like 4	dicer-like 4;(source:Araport11)
AT5G60300	LecRK-I.9	DORN1, LecRK-I.9, P2K1	Concanavalin A-like lectin protein kinase family protein	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
AT2G10940	AT2G10940		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT5G60900	RLK1	RLK1	receptor-like protein kinase 1	receptor-like protein kinase 1;(source:Araport11)
AT5G45150	RTL3	RTL3	RNAse THREE-like protein 3	RNAse THREE-like protein 3;(source:Araport11)
AT2G15530	MBR1	CTL03, MBR1	RING/U-box superfamily protein	RING/U-box superfamily protein;(source:Araport11)
AT1G64900	CYP89A2	CYP89, CYP89A2	cytochrome P450, family 89, subfamily A, polypeptide 2	cytochrome P450, family 89, subfamily A, polypeptide 2;(source:Araport11)
AT5G06330	AT5G06330		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;(source:Araport11)
AT5G46260	AT5G46260		disease resistance protein (TIR-NBS-LRR class) family	disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT5G07770	AT5G07770	AtFH16, FH16	Actin-binding FH2 protein	Actin-binding FH2 protein;(source:Araport11)
AT4G29110	AT4G29110		NULL	cotton fiber protein;(source:Araport11)
AT1G73620	AT1G73620		Pathogenesis-related thaumatin superfamily protein	Pathogenesis-related thaumatin superfamily protein;(source:Araport11)
AT2G30600	AT2G30600		BTB/POZ domain-containing protein	BTB/POZ domain-containing protein;(source:Araport11)
AT4G14130	XTH15	XTH15, XTR7	xyloglucan endotransglucosylase/hydrolase 15	xyloglucan endotransglucosylase/hydrolase 15;(source:Araport11)
AT1G56510	WRR4	ADR2, WRR4, WRR4A	Disease resistance protein (TIR-NBS-LRR class)	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
AT4G15680	AT4G15680	GRXS4, ROXY13	Thioredoxin superfamily protein	Thioredoxin superfamily protein;(source:Araport11)
AT4G15690	AT4G15690	GRXS5, ROXY12	Thioredoxin superfamily protein	Thioredoxin superfamily protein;(source:Araport11)
AT5G13210	AT5G13210		Uncharacterised conserved protein UCP015417,  vWA	Uncharacterized conserved protein UCP015417, vWA;(source:Araport11)
AT2G15390	FUT4	atfut4, FUT4	fucosyltransferase 4	fucosyltransferase 4;(source:Araport11)
AT1G68238	AT1G68238		NULL	transmembrane protein;(source:Araport11)
AT3G49160	AT3G49160		pyruvate kinase family protein	pyruvate kinase family protein;(source:Araport11)
AT3G57240	BG3	AtBG3, BG3, GNS3	beta-1,3-glucanase 3	beta-1,3-glucanase 3;(source:Araport11)
AT3G43720	LTPG2	LTPG2	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
AT1G66140	ZFP4	ZFP4	zinc finger protein 4	zinc finger protein 4;(source:Araport11)
AT3G62960	AT3G62960	ROXY8	Thioredoxin superfamily protein	Thioredoxin superfamily protein;(source:Araport11)
AT3G30180	BR6OX2	BR6OX2, CYP85A2	brassinosteroid-6-oxidase 2	brassinosteroid-6-oxidase 2;(source:Araport11)
AT5G44550	AT5G44550	CASPL1B1	Uncharacterised protein family (UPF0497)	Uncharacterized protein family (UPF0497);(source:Araport11)
AT2G38540	LP1	ATLTP1, AtLtpI-4, LP1, LTP1	lipid transfer protein 1	lipid transfer protein 1;(source:Araport11)
AT1G66910	AT1G66910		Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT2G47880	AT2G47880	CEPD2, ROXY9	Glutaredoxin family protein	Glutaredoxin family protein;(source:Araport11)
AT1G49050	AT1G49050	APCB1	Eukaryotic aspartyl protease family protein	Eukaryotic aspartyl protease family protein;(source:Araport11)
AT4G17140	AT4G17140		pleckstrin homology (PH) domain-containing protein	pleckstrin homology (PH) domain-containing protein;(source:Araport11)
AT3G47570	AT3G47570		Leucine-rich repeat protein kinase family protein	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT5G09730	BXL3	ATBX3, ATBXL3, BX3, BXL3, XYL3	beta-xylosidase 3	beta-xylosidase 3;(source:Araport11)
AT4G15670	AT4G15670	GRXS7, ROXY14	Thioredoxin superfamily protein	Thioredoxin superfamily protein;(source:Araport11)
AT5G40380	CRK42	CRK42	cysteine-rich RLK (RECEPTOR-like protein kinase) 42	cysteine-rich RLK (RECEPTOR-like protein kinase) 42;(source:Araport11)
AT2G44400	AT2G44400		Cysteine/Histidine-rich C1 domain family protein	Cysteine/Histidine-rich C1 domain family protein;(source:Araport11)
AT5G33290	XGD1	XGD1	xylogalacturonan deficient 1	xylogalacturonan deficient 1;(source:Araport11)
AT1G32450	NRT1.5	AtNPF7.3, NPF7.3, NRT1.5	nitrate transporter 1.5	nitrate transporter 1.5;(source:Araport11)
AT1G22400	UGT85A1	ATUGT85A1, UGT85A1	UDP-Glycosyltransferase superfamily protein	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT1G12930	AT1G12930	TNPO3	ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT4G00970	CRK41	CRK41	cysteine-rich RLK (RECEPTOR-like protein kinase) 41	cysteine-rich RLK (RECEPTOR-like protein kinase) 41;(source:Araport11)
AT4G29050	AT4G29050	LecRK-V.9	Concanavalin A-like lectin protein kinase family protein	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
AT3G02020	AK3	AK3	aspartate kinase 3	aspartate kinase 3;(source:Araport11)
AT5G13650	SVR3	SVR3	elongation factor family protein	elongation factor family protein;(source:Araport11)
AT4G23220	CRK14	CRK14	cysteine-rich RLK (RECEPTOR-like protein kinase) 14	cysteine-rich RECEPTOR-like kinase;(source:Araport11)
AT5G45380	DUR3	ATDUR3, DUR3	solute:sodium symporters;urea transmembrane transporters	urea-proton symporter DEGRADATION OF UREA 3 (DUR3);(source:Araport11)
AT1G35910	TPPD	AtTPPD, TPPD	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein;(source:Araport11)
AT3G13060	ECT5	ECT5	evolutionarily conserved C-terminal region 5	evolutionarily conserved C-terminal region 5;(source:Araport11)
AT3G20470	GRP5	ATGRP-5, ATGRP5, GRP-5, GRP5	glycine-rich protein 5	glycine-rich protein 5;(source:Araport11)
AT5G38720	AT5G38720	RRP7	NULL	ribosomal RNA-processing 7 protein;(source:Araport11)
AT5G25040	AT5G25040		Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT4G17470	AT4G17470	CRSH	alpha/beta-Hydrolases superfamily protein	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT1G21580	AT1G21580	SOP1	Zinc finger C-x8-C-x5-C-x3-H type family protein	Zinc finger C-x8-C-x5-C-x3-H type family protein;(source:Araport11)
AT5G46330	FLS2	FLS2	Leucine-rich receptor-like protein kinase family protein	Leucine-rich receptor-like protein kinase family protein;(source:Araport11)
AT3G50740	UGT72E1	UGT72E1	UDP-glucosyl transferase 72E1	UDP-glucosyl transferase 72E1;(source:Araport11)
AT1G33440	AT1G33440	AtNPF4.4, NPF4.4, NRT1.13	Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT1G13470	AT1G13470		Protein of unknown function (DUF1262)	hypothetical protein (DUF1262);(source:Araport11)
AT4G04695	CPK31	CPK31	calcium-dependent protein kinase 31	calcium-dependent protein kinase 31;(source:Araport11)
AT1G50030	TOR	TOR	target of rapamycin	target of rapamycin;(source:Araport11)
AT5G13530	KEG	KEG	protein kinases;ubiquitin-protein ligases	protein kinases;(source:Araport11)
AT1G48090	AT1G48090		calcium-dependent lipid-binding family protein	calcium-dependent lipid-binding family protein;(source:Araport11)
AT2G19130	AT2G19130		S-locus lectin protein kinase family protein	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G16860	RPP4	CHS2, RPP4	Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT3G23780	NRPD2A	DMS2, DRD2, NRPD2, NRPD2A, NRPE2, OCP1	nuclear RNA polymerase D2A	nuclear RNA polymerase D2A;(source:Araport11)
AT2G28290	SYD	CHR3, SYD	P-loop containing nucleoside triphosphate hydrolases superfamily protein	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
AT2G32680	RLP23	AtRLP23, RLP23	receptor like protein 23	receptor like protein 23;(source:Araport11)
AT5G20480	EFR	EFR	EF-TU receptor	EF-TU receptor;(source:Araport11)
AT4G13770	CYP83A1	CYP83A1, REF2	cytochrome P450, family 83, subfamily A, polypeptide 1	cytochrome P450, family 83, subfamily A, polypeptide 1;(source:Araport11)
AT2G15042	AT2G15042		Leucine-rich repeat (LRR) family protein	Leucine-rich repeat (LRR) family protein;(source:Araport11)
AT5G61140	AT5G61140	BRR2c	U5 small nuclear ribonucleoprotein helicase	U5 small nuclear ribonucleoprotein helicase;(source:Araport11)
AT5G03640	AT5G03640	AGC1-8	Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT4G09430	AT4G09430		Disease resistance protein (TIR-NBS-LRR class) family	disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
AT5G40480	EMB3012	EMB3012	embryo defective 3012	embryo defective 3012;(source:Araport11)
AT2G21770	CESA9	CESA09, CESA9	cellulose synthase A9	cellulose synthase A9;(source:Araport11)
AT3G50950	ZAR1	ZAR1	HOPZ-ACTIVATED RESISTANCE 1	HOPZ-ACTIVATED RESISTANCE 1;(source:Araport11)
AT5G17700	AT5G17700		MATE efflux family protein	MATE efflux family protein;(source:Araport11)
AT1G56460	AT1G56460	IES2C	HIT zinc finger ;PAPA-1-like conserved region	HIT zinc finger and PAPA-1-like domain-containing protein;(source:Araport11)
AT5G45500	AT5G45500		RNI-like superfamily protein	RNI-like superfamily protein;(source:Araport11)
AT4G00450	CCT	CCT, CRP, MED12	RNA polymerase II transcription mediators	RNA polymerase II transcription mediator;(source:Araport11)
AT1G11410	AT1G11410		S-locus lectin protein kinase family protein	S-locus lectin protein kinase family protein;(source:Araport11)
AT1G62200	PTR6	AtNPF8.5, AtPTR6, NPF8.5, PTR6	Major facilitator superfamily protein	Major facilitator superfamily protein;(source:Araport11)
AT5G53460	GLT1	GLT1	NADH-dependent glutamate synthase 1	NADH-dependent glutamate synthase 1;(source:Araport11)
AT4G30990	AT4G30990		ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT2G41700	ABCA1	ABCA1, AtABCA1	ATP-binding cassette A1	ATP-binding cassette A1;(source:Araport11)
AT4G23170	EP1	CRK9, EP1	receptor-like protein kinase-related family protein	receptor-like protein kinase-related family protein;(source:Araport11)
AT1G17450	AT1G17450		B-block binding subunit of TFIIIC	B-block binding subunit of TFIIIC;(source:Araport11)
AT3G08870	AT3G08870	LecRK-VI.1	Concanavalin A-like lectin protein kinase family protein	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
AT4G11420	EIF3A	ATEIF3A-1, ATTIF3A1, EIF3A, EIF3A-1, TIF3A1	eukaryotic translation initiation factor 3A	eukaryotic translation initiation factor 3A;(source:Araport11)
AT3G26220	CYP71B3	CYP71B3	cytochrome P450, family 71, subfamily B, polypeptide 3	cytochrome P450, family 71, subfamily B, polypeptide 3;(source:Araport11)
AT5G24350	AT5G24350	MIP2	NULL	neuroblastoma-amplified sequence protein;(source:Araport11)
AT1G16410	CYP79F1	BUS1, CYP79F1, SPS1	cytochrome p450 79f1	cytochrome p450 79f1;(source:Araport11)
AT1G64790	ILA	GCN1, ILA, NOXY7	ILITYHIA	ILITYHIA;(source:Araport11)
AT1G66460	AT1G66460		Protein kinase superfamily protein	Protein kinase superfamily protein;(source:Araport11)
AT4G03450	AT4G03450		Ankyrin repeat family protein	Ankyrin repeat family protein;(source:Araport11)
AT3G44480	RPP1	cog1, RPP1	Disease resistance protein (TIR-NBS-LRR class) family	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT1G08620	PKDM7D	JMJ16, PKDM7D	Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein	Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein;(source:Araport11)
AT3G25610	AT3G25610	ALA10	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein;(source:Araport11)
AT1G33560	ADR1	ADR1	Disease resistance protein (CC-NBS-LRR class) family	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)
AT4G27060	TOR1	CN, SPR2, TOR1	ARM repeat superfamily protein	ARM repeat superfamily protein;(source:Araport11)
AT5G06770	AT5G06770	AtC3H52, AtKH23, KHZ2	KH domain-containing protein / zinc finger (CCCH type) family protein	KH domain-containing protein / zinc finger (CCCH type) family protein;(source:Araport11)
AT1G03380	ATG18G	ATATG18G, ATG18G	homolog of yeast autophagy 18 (ATG18) G	yeast autophagy 18 G-like protein;(source:Araport11)
AT1G65310	XTH17	ATXTH17, XTH17	xyloglucan endotransglucosylase/hydrolase 17	xyloglucan endotransglucosylase/hydrolase 17;(source:Araport11)
AT1G57820	VIM1	ORTH2, VIM1	Zinc finger (C3HC4-type RING finger) family protein	Zinc finger (C3HC4-type RING finger) family protein;(source:Araport11)
AT1G22360	UGT85A2	AtUGT85A2, UGT85A2	UDP-glucosyl transferase 85A2	UDP-glucosyl transferase 85A2;(source:Araport11)
AT2G42890	ML2	AML2, ML2	MEI2-like 2	MEI2-like 2;(source:Araport11)
AT1G64570	DUO3	DUO3	Homeodomain-like superfamily protein	Homeodomain-like superfamily protein;(source:Araport11)
AT2G03530	UPS2	ATUPS2, UPS2	ureide permease 2	ureide permease 2;(source:Araport11)
AT3G59690	IQD13	IQD13	IQ-domain 13	IQ-domain 13;(source:Araport11)
AT5G14200	IMD1	ATIMD1, IMD1	isopropylmalate dehydrogenase 1	isopropylmalate dehydrogenase 1;(source:Araport11)
AT1G06670	NIH	NIH	nuclear DEIH-boxhelicase	nuclear DEIH-boxhelicase;(source:Araport11)
AT3G20080	CYP705A15	CYP705A15	cytochrome P450, family 705, subfamily A, polypeptide 15	cytochrome P450, family 705, subfamily A, polypeptide 15;(source:Araport11)
AT3G50380	AT3G50380		Protein of unknown function (DUF1162)	vacuolar protein sorting-associated protein, putative (DUF1162);(source:Araport11)
AT1G15550	GA3OX1	ATGA3OX1, GA3OX1, GA4	gibberellin 3-oxidase 1	gibberellin 3-oxidase 1;(source:Araport11)
AT3G11840	PUB24	PUB24	plant U-box 24	E3 ubiquitin-protein ligase PUB24-like protein;(source:Araport11)
AT1G13210	ACA.l	ACA.l, ALA11	autoinhibited Ca2+/ATPase II	autoinhibited Ca2+/ATPase II;(source:Araport11)
AT4G11130	RDR2	AtRDR2, RDR2, SMD1	RNA-dependent RNA polymerase 2	RNA-dependent RNA polymerase 2;(source:Araport11)
AT5G02310	PRT6	GED1, PRT6	proteolysis 6	proteolysis 6;(source:Araport11)
AT4G17250	AT4G17250		NULL	transmembrane protein;(source:Araport11)
AT2G46440	CNGC11	ATCNGC11, CNGC11	cyclic nucleotide-gated channels	cyclic nucleotide-gated channels;(source:Araport11)
AT2G20960	pEARLI4	pEARLI4	Arabidopsis phospholipase-like protein (PEARLI 4) family	phospholipase-like protein (PEARLI 4) family protein;(source:Araport11)
AT3G48050	SUO	SUO	BAH domain ;TFIIS helical bundle-like domain	protein SUO;(source:Araport11)
AT5G64120	AT5G64120	AtPRX71, PRX71	Peroxidase superfamily protein	Peroxidase superfamily protein;(source:Araport11)
AT5G47910	RBOHD	ATRBOHD, DELT1, RBOHD	respiratory burst oxidase homologue D	respiratory burst oxidase homologue D;(source:Araport11)
AT5G43630	TZP	TZP	zinc knuckle (CCHC-type) family protein	zinc knuckle (CCHC-type) family protein;(source:Araport11)
AT1G57720	AT1G57720		Translation elongation factor EF1B, gamma chain	Translation elongation factor EF1B, gamma chain;(source:Araport11)
AT1G56120	AT1G56120		Leucine-rich repeat transmembrane protein kinase	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT5G04720	ADR1-L2	ADR1-L2, PHX21	ADR1-like 2	ADR1-like 2;(source:Araport11)
AT1G69070	AT1G69070		NULL	nucleolar-like protein;(source:Araport11)
AT3G44990	XTH31	AtXTH31, ATXTR8, XTH31, XTR8	xyloglucan endo-transglycosylase-related 8	xyloglucan endo-transglycosylase-related 8;(source:Araport11)
AT5G25250	FLOT1	FLOT1	SPFH/Band 7/PHB domain-containing membrane-associated protein family	SPFH/Band 7/PHB domain-containing membrane-associated protein family;(source:Araport11)
AT3G14620	CYP72A8	CYP72A8	cytochrome P450, family 72, subfamily A, polypeptide 8	cytochrome P450, family 72, subfamily A, polypeptide 8;(source:Araport11)
AT3G57330	ACA11	ACA11	autoinhibited Ca2+-ATPase 11	autoinhibited Ca2+-ATPase 11;(source:Araport11)
AT5G20980	MS3	ATMS3, MS3	methionine synthase 3	methionine synthase 3;(source:Araport11)
AT2G34660	ABCC2	ABCC2, AtABCC2, ATMRP2, EST4, MRP2	multidrug resistance-associated protein 2	multidrug resistance-associated protein 2;(source:Araport11)
AT1G18270	AT1G18270		ketose-bisphosphate aldolase class-II family protein	ketose-bisphosphate aldolase class-II family protein;(source:Araport11)
AT2G24050	eIFiso4G2	eIFiso4G2	MIF4G domain-containing protein / MA3 domain-containing protein	MIF4G domain-containing protein / MA3 domain-containing protein;(source:Araport11)
AT5G40450	AT5G40450	RBB1	NULL	A-kinase anchor-like protein;(source:Araport11)
AT5G36220	CYP81D1	CYP81D1, CYP91A1	cytochrome p450 81d1	cytochrome p450 81d1;(source:Araport11)
AT3G13330	PA200	PA200	proteasome activating protein 200	proteasome activating protein 200;(source:Araport11)
